Doc;NF;Pedido;Geração;Horário;Cliente;CNPJ;Representante;Vendedor;Transportador;Valor Líquido;
PDV;;13465;06/01/2026;10:19;VOLNEI FERST & CIA LTDA.;31.385.089/0001-85;REPRESENTACOES JT LTDA.;GABRIELA FERREIRA NUNES;TW TRANSPORTES WALDEMAR LTDA (S); 7.297,46 ;
PDV;;13494;07/01/2026;10:31;MASSADA DISTRIBUIDORA DE AUTO PECAS LTDA - EPP;23.671.280/0001-65;RICARDO ATENDIM DIRETO;JOSE RICARDO ZAGHI;SPEED WORK TRANSPORTES LTDA; 180,00 ;
PDV;;13498;07/01/2026;10:46;JOSE ADELSON DOS SANTOS;21.698.351/0001-98;WMC REPRESENTAÇÕES COMERCIAIS LTDA;FRANCIELLE DE OLIVEIRA BUENO;TRANSCOMPRAS TRANSPORTES COMPRAS COM.LTDA (COLETA); 12.657,74 ;
PDV;;13502;07/01/2026;11:03;COPECAL DISTRIBUIDORA DE AUTO PECAS LTDA;07.018.204/0001-07;KOLLING REPRESENTAÇÕES COMERCIAIS LTDA.;LUAN CLEMENTE COSTA;ST SOLUÇÃO TRANSPORTES LOGISTICA LTDA(N); 7.680,33 ;
PDV;;13519;08/01/2026;16:11;RSC COMERCIO DE PECAS PARA CAMINHOES LTDA;05.849.430/0001-04;REPRESENTACOES JT LTDA.;GABRIELA FERREIRA NUNES;RODOV.BEDIN LTDA (PANEX)COLETA; 4.165,10 ;
PDV;;13525;09/01/2026;10:48;COELHO, FARIAS & RIBEIRO SOLUÇÕES DAS PECAS AUTOMOTIVA;52.159.582/0001-57;FERNANDES REPRESENTAÇÕES LTDA – ME;ANDRE OLIVEIRA;SPC TRANSPORTES LTDA - ME. (N); 13.469,63 ;
PDV;;13532;09/01/2026;15:16;DINAMAR - PECAS E SERVICOS MARILIA LTDA;00.019.643/0006-91;VIVIANE ATENDIM DIRETO;VIVIANE GOMES DOS SANTOS;RODONAVES ATE 100 KG; 7.468,76 ;
PDV;;13533;09/01/2026;16:01;DIESEL SETE PECAS LTDA;64.435.670/0001-13;FABIO MAGELA CARVALHO DE FREITAS ME;MARINETE GONÇALVES DE OLIVEIRA;SETE LAGOAS TRANSPORTES LTDA (ROTEIRO); 13.658,74 ;
PDV;;13534;09/01/2026;16:54;M.G.S AUTO PECAS LTDA;10.315.632/0001-06;VANORTE REPRESENTAÇOES LTDA;RENATA FERREIRA;TRANSVITALINO TRANSP. DE CARGAS VITALINO EIRELI (N; 1.655,85 ;
PDV;;13535;09/01/2026;17:04;GLAUBER GUIMARAES PEREIRA EIRELI;21.499.725/0001-46;GABRIEL ATENDIMENTO DIRETO;GABRIEL NEVES;JTO TRANSPORTES LTDA (SETEX); 11.100,00 ;
PDV;;13541;12/01/2026;09:52;DINATEC PECAS E SERVICOS LTDA;56.124.506/0001-67;TALITA ATENDIM DIRETO;TALITA SANTOS STEVANELLI;RODONAVES ATE 100 KG; 6.514,40 ;
